,TIME(2022/01/27 09:39:32.995),TIMETICK(f=10000000),FPOGX,FPOGY
186,1.24565,2269088609238,0.0,0.0
187,1.25336,2269088686220,0.0,0.0
188,1.25972,2269088749886,0.0,0.0
189,1.26579,2269088810513,0.0,0.0
190,1.27353,2269088887940,0.0,0.0
191,1.28023,2269088954873,0.0,0.0
192,1.28746,2269089027215,0.0,0.0
193,1.29411,2269089093760,0.0,0.0
194,1.29987,2269089151272,0.0,0.0
195,1.30673,2269089220010,0.0,0.0
196,1.31303,2269089283017,0.0,0.0
197,1.32161,2269089368816,0.0,0.0
198,1.3271,2269089423610,0.0,0.0
199,1.3334,2269089486641,0.0,0.0
200,1.33952,2269089547862,0.0,0.0
201,1.34622,2269089614913,0.0,0.0
202,1.35301,2269089682815,0.0,0.0
203,1.36092,2269089761788,0.0,0.0
204,1.36803,2269089832996,0.0,0.0
205,1.37584,2269089910985,0.0,0.0
206,1.38185,2269089971213,0.0,0.0
207,1.38898,2269090042501,0.0,0.0
208,1.396,2269090112600,0.0,0.0
209,1.40421,2269090194720,0.0,0.0
210,1.41174,2269090270078,0.0,0.0
211,1.41882,2269090340883,0.0,0.0
212,1.42429,2269090395551,0.0,0.0
213,1.43173,2269090470045,0.0,0.0
214,1.43787,2269090531359,0.0,0.0
215,1.43993,2269090551910,0.0,0.0
216,1.44656,2269090618254,0.0,0.0
217,1.45406,2269090693185,0.0,0.0
218,1.46068,2269090759461,0.0,0.0
219,1.46713,2269090824000,0.0,0.0
220,1.47331,2269090885762,0.0,0.0
221,1.48051,2269090957826,0.0,0.0
222,1.48671,2269091019734,0.0,0.0
223,1.49353,2269091087994,0.0,0.0
224,1.50102,2269091162891,0.0,0.0
225,1.50766,2269091229189,0.0,0.0
226,1.51411,2269091293764,0.0,0.0
227,1.52135,2269091366135,0.0,0.0
228,1.52824,2269091435037,0.0,0.0
229,1.53473,2269091499878,0.0,0.0
230,1.54179,2269091570549,0.0,0.0
231,1.54797,2269091632451,0.0,0.0
